,f1_test_svm,f1_test_tm,f1_train_svm,f1_train_tm,topic_num
0,0.4812953825060459,0.21075452128395353,0.6178541889456982,0.2236935124177286,10.0
1,0.5309390063446527,0.39247567150732643,0.5399459675818254,0.403349810824143,25.0
2,0.5709106378288304,0.4690624994782352,0.5973502425571027,0.4837753356041666,40.0
3,0.5940820288330094,0.4727906676517426,0.6203661769732723,0.49497894436721757,55.0
4,0.6265062089764879,0.5025515141425012,0.6552549023833112,0.5421939438717154,70.0
5,0.6374220243194891,0.5444675739886278,0.6658689130116526,0.5775082313367557,85.0
6,0.6434904388260942,0.5649811424141772,0.69210652085175,0.6057321990315522,100.0
7,0.6463516569944958,0.5652196095613246,0.6857418906766194,0.6031337108731871,115.0
8,0.6604983779908857,0.5832613864958072,0.6977201622031756,0.6251692201435957,130.0
9,0.6592551029978382,0.5786878179471495,0.697365409345221,0.6163953225727893,145.0
10,0.6602889175859707,0.5858806359036631,0.708749682615072,0.6325562016261501,160.0
11,0.6635234425517278,0.6008002496522463,0.7095885398574823,0.6372953939569201,175.0
12,0.677450139477659,0.6121826642184895,0.7156197590841367,0.6508557582620802,190.0
13,0.6695538535089914,0.6155932956017726,0.7099314490353086,0.6466745759307655,205.0
14,0.6742293227917975,0.618355887718369,0.7090189217790611,0.648316950668222,220.0
15,0.6655880885409701,0.5953442523339453,0.7071100676140482,0.6339457890192067,235.0
0,0.6601112916889658,0.5897135742207693,0.7079715262000957,0.6254385572444436,150.0
1,0.6612607308028822,0.5985546328283287,0.7075983329365632,0.6326800443592925,165.0
2,0.6623193904223973,0.6048182665277189,0.7025347676307676,0.6379641953074998,180.0
3,0.6698450573881309,0.6187661214688359,0.7064989606068289,0.6484881769657881,195.0
4,0.6698348234419743,0.618928916083893,0.7068734766391118,0.648713360840948,210.0
5,0.6711745071348001,0.6230072308014032,0.7068127718476125,0.6452201495889902,225.0
6,0.6636564172304046,0.6105995883529995,0.7094448559947811,0.639896053535832,240.0
7,0.6630511570180531,0.6026184154448748,0.7134429685225472,0.64343845304543,255.0
8,0.6649887619097047,0.5909536032891245,0.7120821221079101,0.6402285141807595,270.0
9,0.6668964359911632,0.5951494859802767,0.7182813675221398,0.639997581640211,285.0
10,0.6628596549224375,0.598472065817698,0.7200646560640598,0.6476384235961159,300.0
11,0.6629611305507052,0.5922421619756356,0.721987974307966,0.6389749889587332,315.0
12,0.664007695180055,0.6003897914843346,0.7332950382227088,0.6610974583827638,330.0
13,0.6589418942433938,0.5836939810616087,0.7377320631641223,0.6493582111962344,345.0
14,0.6565310329123731,0.5825305090359901,0.7310923528249538,0.640303090171505,360.0
15,0.6647881856205969,0.5864117518851726,0.7373167026137286,0.6511439271669729,375.0
16,0.6608972713268236,0.5839031299958102,0.734608176393562,0.6461395362148727,390.0
