,f1_test_svm,f1_test_tm,f1_train_svm,f1_train_tm,label,ngrams,text
0,0.6200228332557166,0.5256670815333386,0.6671372097149322,0.5608420344426808,0.5,0.5,0.5
1,0.6184621491068294,0.5225947019797583,0.6691611874873875,0.5626692128357289,0.5,1.0,0.5
2,0.6151040471274895,0.5192902978977438,0.664845950413977,0.5588358917381273,0.5,2.0,0.5
3,0.611435732380553,0.5156858729525681,0.6671659258856448,0.5530738456419604,0.5,3.0,0.5
4,0.6100053285530052,0.5144606198333396,0.6659979869446727,0.5538195887444199,0.5,5.0,0.5
5,0.6107371089926159,0.5225405205473218,0.6648827964153771,0.5539919903625595,0.5,10.0,0.5
6,0.6179095816912816,0.5162321041509214,0.6681749057561827,0.5507138452250933,1.0,0.5,0.5
7,0.616536685361242,0.5148915204417698,0.6678438042130004,0.5483435915467223,1.0,1.0,0.5
8,0.6132948538880605,0.5112198534741773,0.6660776755828499,0.5480342452865129,1.0,2.0,0.5
9,0.6095470953846636,0.5072662638870963,0.665214286376835,0.5467673256500356,1.0,3.0,0.5
10,0.611710814981609,0.5031376358208075,0.6659034792108918,0.5447421624568352,1.0,5.0,0.5
11,0.6121900257137505,0.5130084031690526,0.66641415345902,0.5478559119221893,1.0,10.0,0.5
12,0.6185529903219583,0.5142186295298982,0.667020396656578,0.5445011570525031,2.0,0.5,0.5
13,0.6200309415202924,0.5143267493806236,0.6668965932769848,0.5415931750880205,2.0,1.0,0.5
14,0.6175147569032615,0.5151771258246562,0.6670794841809389,0.5490410810019516,2.0,2.0,0.5
15,0.6135023367449549,0.5107006160083234,0.6716873235403586,0.5477898529094614,2.0,3.0,0.5
16,0.616785791426001,0.5119072697643163,0.6682713128185456,0.5423143601257465,2.0,5.0,0.5
17,0.6160774503918056,0.5065947830085813,0.6695277726163266,0.5438791003297527,2.0,10.0,0.5
18,0.6215036853627678,0.5106206734035317,0.6768419720842191,0.5447842911524423,3.0,0.5,0.5
